,prices,address,bed_num,home_type,city,zip_code,baths,sqft,state,zipcode,county
0,"$400,000",31008 Applewood Ln,4.0, House for sale, Farmington, MI 48331,3.0,2944.0,MI,48331,26125
1,"$325,000",37901 Carson St,3.0, House for sale, Farmington, MI 48331,2.0,1901.0,MI,48331,26125
2,"$400,000",31008 Applewood Ln,4.0, House for sale, Farmington, MI 48331,3.0,2944.0,MI,48331,26125
3,"$400,000",31008 Applewood Ln,4.0, House for sale, Farmington, MI 48331,3.0,2944.0,MI,48331,26125
4,"$400,000",31008 Applewood Ln,4.0, House for sale, Farmington, MI 48331,3.0,2944.0,MI,48331,26125
5,"$400,000",31008 Applewood Ln,4.0, House for sale, Farmington, MI 48331,3.0,2944.0,MI,48331,26125
6,"$400,000",31008 Applewood Ln,4.0, House for sale, Farmington, MI 48331,3.0,2944.0,MI,48331,26125
7,"$425,000",5372 Hauser Way,4.0, House for sale, West Bloomfield, MI 48323,4.0,3213.0,MI,48323,26125
8,"$425,000",5372 Hauser Way,4.0, House for sale, West Bloomfield, MI 48323,4.0,3213.0,MI,48323,26125
9,"$425,000",5372 Hauser Way,4.0, House for sale, West Bloomfield, MI 48323,4.0,3213.0,MI,48323,26125
10,"$425,000",5372 Hauser Way,4.0, House for sale, West Bloomfield, MI 48323,4.0,3213.0,MI,48323,26125
11,"$425,000",5372 Hauser Way,4.0, House for sale, West Bloomfield, MI 48323,4.0,3213.0,MI,48323,26125
12,"$425,000",5372 Hauser Way,4.0, House for sale, West Bloomfield, MI 48323,4.0,3213.0,MI,48323,26125
13,"$460,000",11526 Toledo Ave,3.0, House for sale, Manitou Beach, MI 49253,2.0,1708.0,MI,49253,26091
14,"$460,000",11526 Toledo Ave,3.0, House for sale, Manitou Beach, MI 49253,2.0,1708.0,MI,49253,26091
15,"$460,000",11526 Toledo Ave,3.0, House for sale, Manitou Beach, MI 49253,2.0,1708.0,MI,49253,26091
16,"$460,000",11526 Toledo Ave,3.0, House for sale, Manitou Beach, MI 49253,2.0,1708.0,MI,49253,26091
17,"$460,000",11526 Toledo Ave,3.0, House for sale, Manitou Beach, MI 49253,2.0,1708.0,MI,49253,26091
18,"$460,000",11526 Toledo Ave,3.0, House for sale, Manitou Beach, MI 49253,2.0,1708.0,MI,49253,26091
19,"$579,900",6479 Island Lake Dr,4.0, House for sale, East Lansing, MI 48823,4.0,4117.0,MI,48823,26037
20,"$579,900",6479 Island Lake Dr,4.0, House for sale, East Lansing, MI 48823,4.0,4117.0,MI,48823,26065
21,"$239,900",1655 Walnut Heights Dr,3.0, Coming soon, East Lansing, MI 48823,2.0,2027.0,MI,48823,26037
22,"$239,900",1655 Walnut Heights Dr,3.0, Coming soon, East Lansing, MI 48823,2.0,2027.0,MI,48823,26065
23,"$579,900",6479 Island Lake Dr,4.0, House for sale, East Lansing, MI 48823,4.0,4117.0,MI,48823,26037
24,"$579,900",6479 Island Lake Dr,4.0, House for sale, East Lansing, MI 48823,4.0,4117.0,MI,48823,26065
25,"$579,900",6479 Island Lake Dr,4.0, House for sale, East Lansing, MI 48823,4.0,4117.0,MI,48823,26037
26,"$579,900",6479 Island Lake Dr,4.0, House for sale, East Lansing, MI 48823,4.0,4117.0,MI,48823,26065
27,"$579,900",6479 Island Lake Dr,4.0, House for sale, East Lansing, MI 48823,4.0,4117.0,MI,48823,26037
28,"$579,900",6479 Island Lake Dr,4.0, House for sale, East Lansing, MI 48823,4.0,4117.0,MI,48823,26065
29,"$579,900",6479 Island Lake Dr,4.0, House for sale, East Lansing, MI 48823,4.0,4117.0,MI,48823,26037
30,"$579,900",6479 Island Lake Dr,4.0, House for sale, East Lansing, MI 48823,4.0,4117.0,MI,48823,26065
31,"$579,900",6479 Island Lake Dr,4.0, House for sale, East Lansing, MI 48823,4.0,4117.0,MI,48823,26037
32,"$579,900",6479 Island Lake Dr,4.0, House for sale, East Lansing, MI 48823,4.0,4117.0,MI,48823,26065
33,"$75,000",26 Maple Ct,3.0, Home for sale, Muskegon, MI 49445,2.0,1512.0,MI,49445,26121
34,"$199,900",1451 Havenga St,4.0, House for sale, Muskegon, MI 49445,2.0,2008.0,MI,49445,26121
35,"$75,000",26 Maple Ct,3.0, Home for sale, Muskegon, MI 49445,2.0,1512.0,MI,49445,26121
36,"$75,000",26 Maple Ct,3.0, Home for sale, Muskegon, MI 49445,2.0,1512.0,MI,49445,26121
37,"$75,000",26 Maple Ct,3.0, Home for sale, Muskegon, MI 49445,2.0,1512.0,MI,49445,26121
38,"$75,000",26 Maple Ct,3.0, Home for sale, Muskegon, MI 49445,2.0,1512.0,MI,49445,26121
39,"$75,000",26 Maple Ct,3.0, Home for sale, Muskegon, MI 49445,2.0,1512.0,MI,49445,26121
40,"$209,900",5959 Don Snow Camp Rd,4.0, House for sale, Twin Lake, MI 49457,2.0,1604.0,MI,49457,26123
41,"$209,900",5959 Don Snow Camp Rd,4.0, House for sale, Twin Lake, MI 49457,2.0,1604.0,MI,49457,26121
42,"$130,000",7911 W Lake Rd,3.0, Home for sale, Twin Lake, MI 49457,2.0,1114.0,MI,49457,26123
43,"$130,000",7911 W Lake Rd,3.0, Home for sale, Twin Lake, MI 49457,2.0,1114.0,MI,49457,26121
44,"$209,900",5959 Don Snow Camp Rd,4.0, House for sale, Twin Lake, MI 49457,2.0,1604.0,MI,49457,26123
45,"$209,900",5959 Don Snow Camp Rd,4.0, House for sale, Twin Lake, MI 49457,2.0,1604.0,MI,49457,26121
46,"$209,900",5959 Don Snow Camp Rd,4.0, House for sale, Twin Lake, MI 49457,2.0,1604.0,MI,49457,26123
47,"$209,900",5959 Don Snow Camp Rd,4.0, House for sale, Twin Lake, MI 49457,2.0,1604.0,MI,49457,26121
48,"$209,900",5959 Don Snow Camp Rd,4.0, House for sale, Twin Lake, MI 49457,2.0,1604.0,MI,49457,26123
49,"$209,900",5959 Don Snow Camp Rd,4.0, House for sale, Twin Lake, MI 49457,2.0,1604.0,MI,49457,26121
50,"$209,900",5959 Don Snow Camp Rd,4.0, House for sale, Twin Lake, MI 49457,2.0,1604.0,MI,49457,26123
51,"$209,900",5959 Don Snow Camp Rd,4.0, House for sale, Twin Lake, MI 49457,2.0,1604.0,MI,49457,26121
52,"$209,900",5959 Don Snow Camp Rd,4.0, House for sale, Twin Lake, MI 49457,2.0,1604.0,MI,49457,26123
53,"$209,900",5959 Don Snow Camp Rd,4.0, House for sale, Twin Lake, MI 49457,2.0,1604.0,MI,49457,26121
54,"$249,500",4687 W School Rd,3.0, Home for sale, Roscommon, MI 48653,2.0,2040.0,MI,48653,26143
55,"$249,500",4687 W School Rd,3.0, Home for sale, Roscommon, MI 48653,2.0,2040.0,MI,48653,26039
56,"$224,900",332 Clare Blvd,3.0, House for sale, Roscommon, MI 48653,2.0,1080.0,MI,48653,26143
57,"$224,900",332 Clare Blvd,3.0, House for sale, Roscommon, MI 48653,2.0,1080.0,MI,48653,26039
58,"$93,900",4394 E Higgins Lake Dr,1.0, House for sale, Roscommon, MI 48653,1.0,720.0,MI,48653,26143
59,"$93,900",4394 E Higgins Lake Dr,1.0, House for sale, Roscommon, MI 48653,1.0,720.0,MI,48653,26039
60,"$249,500",4687 W School Rd,3.0, Home for sale, Roscommon, MI 48653,2.0,2040.0,MI,48653,26143
61,"$249,500",4687 W School Rd,3.0, Home for sale, Roscommon, MI 48653,2.0,2040.0,MI,48653,26039
62,"$249,500",4687 W School Rd,3.0, Home for sale, Roscommon, MI 48653,2.0,2040.0,MI,48653,26143
63,"$249,500",4687 W School Rd,3.0, Home for sale, Roscommon, MI 48653,2.0,2040.0,MI,48653,26039
64,"$249,500",4687 W School Rd,3.0, Home for sale, Roscommon, MI 48653,2.0,2040.0,MI,48653,26143
65,"$249,500",4687 W School Rd,3.0, Home for sale, Roscommon, MI 48653,2.0,2040.0,MI,48653,26039
66,"$249,500",4687 W School Rd,3.0, Home for sale, Roscommon, MI 48653,2.0,2040.0,MI,48653,26143
67,"$249,500",4687 W School Rd,3.0, Home for sale, Roscommon, MI 48653,2.0,2040.0,MI,48653,26039
68,"$249,500",4687 W School Rd,3.0, Home for sale, Roscommon, MI 48653,2.0,2040.0,MI,48653,26143
69,"$249,500",4687 W School Rd,3.0, Home for sale, Roscommon, MI 48653,2.0,2040.0,MI,48653,26039
70,"$349,900",14887 177th Ave,4.0, House for sale, Grand Haven, MI 49417,3.0,2045.0,MI,49417,26139
71,"$249,900",1010 Orchard Ave,3.0, House for sale, Grand Haven, MI 49417,2.0,1800.0,MI,49417,26139
72,"$239,900",1333 Columbus Ave,3.0, House for sale, Grand Haven, MI 49417,2.0,1297.0,MI,49417,26139
73,"$349,900",14887 177th Ave,4.0, House for sale, Grand Haven, MI 49417,3.0,2045.0,MI,49417,26139
74,"$249,900",1010 Orchard Ave,3.0, House for sale, Grand Haven, MI 49417,2.0,1800.0,MI,49417,26139
75,"$349,900",14887 177th Ave,4.0, House for sale, Grand Haven, MI 49417,3.0,2045.0,MI,49417,26139
76,"$249,900",1010 Orchard Ave,3.0, House for sale, Grand Haven, MI 49417,2.0,1800.0,MI,49417,26139
77,"$349,900",14887 177th Ave,4.0, House for sale, Grand Haven, MI 49417,3.0,2045.0,MI,49417,26139
78,"$249,900",1010 Orchard Ave,3.0, House for sale, Grand Haven, MI 49417,2.0,1800.0,MI,49417,26139
79,"$349,900",14887 177th Ave,4.0, House for sale, Grand Haven, MI 49417,3.0,2045.0,MI,49417,26139
80,"$249,900",1010 Orchard Ave,3.0, House for sale, Grand Haven, MI 49417,2.0,1800.0,MI,49417,26139
81,"$349,900",14887 177th Ave,4.0, House for sale, Grand Haven, MI 49417,3.0,2045.0,MI,49417,26139
82,"$249,900",1010 Orchard Ave,3.0, House for sale, Grand Haven, MI 49417,2.0,1800.0,MI,49417,26139
83,"$215,900",4309 Barnard Rd,3.0, House for sale, Waterford, MI 48329,2.0,1420.0,MI,48329,26125
84,"$255,000",2825 Muskovie Ave,4.0, House for sale, Waterford, MI 48329,4.0,2433.0,MI,48329,26125
85,"$340,000",781 Maury Pl,4.0, House for sale, Howell, MI 48843,2.0,1589.0,MI,48843,26093
86,"$1,425,000",4165 Arthur Hills Dr,4.0, House for sale, Harbor Springs, MI 49740,5.0,6988.0,MI,49740,26047
87,"$219,900",47623 Pembroke Dr,2.0, Coming soon, Canton, MI 48188,3.0,1660.0,MI,48188,26163
88,"$295,000",5080 Laurelwood Dr,3.0, House for sale, Hudsonville, MI 49426,2.0,2000.0,MI,49426,26139
89,"$295,000",5080 Laurelwood Dr,3.0, House for sale, Hudsonville, MI 49426,2.0,2000.0,MI,49426,26005
90,"$189,900",1140 S Lackie Rd,3.0, House for sale, Bad Axe, MI 48413,2.0,1344.0,MI,48413,26063
91,"$47,000",15734 Mark Twain St,4.0, House for sale, Detroit, MI 48227,1.0,1321.0,MI,48227,26163
92,"$89,900",8764 Lake Shore Trl,1.0, House for sale, Atlanta, MI 49709,1.0,1000.0,MI,49709,26119
93,"$164,900",17206 Roselawn St,6.0, House for sale, Detroit, MI 48221,2.0,2171.0,MI,48221,26163
94,"$415,000",20535 Hidden Lake Rd,3.0, House for sale, Gregory, MI 48137,2.0,2400.0,MI,48137,26161
95,"$415,000",20535 Hidden Lake Rd,3.0, House for sale, Gregory, MI 48137,2.0,2400.0,MI,48137,26093
96,"$114,900",1654 Bel Air St,3.0, House for sale, Saginaw, MI 48604,1.0,1200.0,MI,48604,26017
97,"$114,900",1654 Bel Air St,3.0, House for sale, Saginaw, MI 48604,1.0,1200.0,MI,48604,26145
98,"$285,000",286 Ridgeway Dr,3.0, House for sale, Brooklyn, MI 49230,1.0,1379.0,MI,49230,26091
99,"$285,000",286 Ridgeway Dr,3.0, House for sale, Brooklyn, MI 49230,1.0,1379.0,MI,49230,26161
100,"$285,000",286 Ridgeway Dr,3.0, House for sale, Brooklyn, MI 49230,1.0,1379.0,MI,49230,26075
101,"$375,000",123 N Grand Pointe Dr,4.0, House for sale, Brooklyn, MI 49230,3.0,2400.0,MI,49230,26091
102,"$375,000",123 N Grand Pointe Dr,4.0, House for sale, Brooklyn, MI 49230,3.0,2400.0,MI,49230,26161
103,"$375,000",123 N Grand Pointe Dr,4.0, House for sale, Brooklyn, MI 49230,3.0,2400.0,MI,49230,26075
104,"$159,500",4941 Main Rd,4.0, House for sale, Applegate, MI 48401,2.0,2000.0,MI,48401,26151
105,"$64,900",6185 Paint Creek Ct,4.0, House for sale, Kimball, MI 48074,2.0,2027.0,MI,48074,26147
106,"$180,000",4237 23rd St,3.0, House for sale, Wyandotte, MI 48192,2.0,1011.0,MI,48192,26163
107,"$215,000",505 Vinewood St,4.0, House for sale, Wyandotte, MI 48192,2.0,1208.0,MI,48192,26163
108,"$170,000",1829 13th St,3.0, Coming soon, Wyandotte, MI 48192,1.0,1060.0,MI,48192,26163
109,"$82,000",16400-16400 N Park Dr APT 1210-108,2.0, Condo for sale, Southfield, MI 48075,2.0,1250.0,MI,48075,26125
110,"$269,000",1232 Stover Rd,5.0, House for sale, Standish, MI 48658,3.0,3258.0,MI,48658,26017
111,"$269,000",1232 Stover Rd,5.0, House for sale, Standish, MI 48658,3.0,3258.0,MI,48658,26011
112,"$70,000",2942 Horseshoe Lake Rd,3.0, House for sale, West Branch, MI 48661,1.0,1260.0,MI,48661,26129
113,"$199,999",1157 Holly Spring Ln,3.0, House for sale, Grand Blanc, MI 48439,2.0,1444.0,MI,48439,26125
114,"$199,999",1157 Holly Spring Ln,3.0, House for sale, Grand Blanc, MI 48439,2.0,1444.0,MI,48439,26049
115,"$240,000",3431 Brenthill Dr,4.0, House for sale, Grand Blanc, MI 48439,3.0,1586.0,MI,48439,26125
116,"$240,000",3431 Brenthill Dr,4.0, House for sale, Grand Blanc, MI 48439,3.0,1586.0,MI,48439,26049
117,"$315,000",4404 Baldwin Rd,3.0, Coming soon, Grand Blanc, MI 48439,2.0,1503.0,MI,48439,26125
118,"$315,000",4404 Baldwin Rd,3.0, Coming soon, Grand Blanc, MI 48439,2.0,1503.0,MI,48439,26049
119,"$28,000",12195 Cloverlawn St,3.0, Foreclosure, Detroit, MI 48204,2.0,1652.0,MI,48204,26163
120,"$139,900",4346 Norman Dr SE APT 102,2.0, Condo for sale, Grand Rapids, MI 49508,2.0,801.0,MI,49508,26081
121,"$369,000",1666 Madison Ct,5.0, House for sale, Clarkston, MI 48346,4.0,1719.0,MI,48346,26125
122,"$430,000",5813 Curtice Rd,4.0, House for sale, Mason, MI 48854,3.0,2016.0,MI,48854,26065
123,"$500,000",4364 Curtice Rd,3.0, House for sale, Mason, MI 48854,3.0,4170.0,MI,48854,26065
124,"$325,000",299 Ives Rd,3.0, House for sale, Mason, MI 48854,4.0,3390.0,MI,48854,26065
125,"$199,900",3459 Rolfe Rd,3.0, House for sale, Mason, MI 48854,1.0,1242.0,MI,48854,26065
126,"$164,900",314 E Ash St,3.0, House for sale, Mason, MI 48854,1.0,1312.0,MI,48854,26065
127,"$289,000",5810 Lakeshore Rd N,2.0, House for sale, Palms, MI 48465,1.0,948.0,MI,48465,26151
128,"$259,900",1580 Haddon Hall Dr,4.0, House for sale, Holt, MI 48842,3.0,3048.0,MI,48842,26045
129,"$259,900",1580 Haddon Hall Dr,4.0, House for sale, Holt, MI 48842,3.0,3048.0,MI,48842,26065
130,"$199,215",710 Paris Ave SE,4.0, Multi-family home for sale, Grand Rapids, MI 49503,2.0,1810.0,MI,49503,26081
131,"$49,900",3697 Chase Bridge Rd,3.0, House for sale, Grayling, MI 49738,1.0,1008.0,MI,49738,26135
132,"$49,900",3697 Chase Bridge Rd,3.0, House for sale, Grayling, MI 49738,1.0,1008.0,MI,49738,26039
133,"$49,900",3697 Chase Bridge Rd,3.0, House for sale, Grayling, MI 49738,1.0,1008.0,MI,49738,26137
134,"$49,900",3697 Chase Bridge Rd,3.0, House for sale, Grayling, MI 49738,1.0,1008.0,MI,49738,26079
135,"$339,900",6516 Thimbleweed Ln NE,3.0, House for sale, Rockford, MI 49341,2.0,2216.0,MI,49341,26081
136,"$280,000",11829 Redberry Ct NE,3.0, House for sale, Rockford, MI 49341,2.0,1350.0,MI,49341,26081
137,"$400,000",9114 Lady Lauren Dr NE,4.0, House for sale, Rockford, MI 49341,3.0,2141.0,MI,49341,26081
138,"$429,900",6700 Twin Springs Ct,4.0, House for sale, Rockford, MI 49341,3.0,2824.0,MI,49341,26081
139,"$289,900",3224 McCollum Lake Rd,4.0, House for sale, Curran, MI 48728,4.0,2266.0,MI,48728,26135
140,"$289,900",3224 McCollum Lake Rd,4.0, House for sale, Curran, MI 48728,4.0,2266.0,MI,48728,26001
141,"$292,600",1807 Saint Joseph St,3.0, Townhouse for sale, Traverse City, MI 49696,2.0,1500.0,MI,49696,26055
142,"$240,000",1259 N Keystone Rd,3.0, House for sale, Traverse City, MI 49696,1.0,1528.0,MI,49696,26055
143,"$220,000",2328 Hemlock Ave,3.0, House for sale, Portage, MI 49024,1.0,1660.0,MI,49024,26077
144,"$349,890",48249 Pheasant St,4.0, House for sale, Chesterfield, MI 48047,4.0,2634.0,MI,48047,26099
145,"$180,000",46386 Jefferson Ave,2.0, House for sale, Chesterfield, MI 48047,1.0,1432.0,MI,48047,26099
146,"$219,900",1114 Birchwood Dr,3.0, House for sale, Temperance, MI 48182,2.0,1841.0,MI,48182,26115
147,"$199,900",18792 Fir Dr,5.0, Home for sale, Big Rapids, MI 49307,2.0,1752.0,MI,49307,26123
148,"$199,900",18792 Fir Dr,5.0, Home for sale, Big Rapids, MI 49307,2.0,1752.0,MI,49307,26107
149,"$280,000",130 Buckley Ln,5.0, House for sale, Battle Creek, MI 49015,4.0,3197.0,MI,49015,26025
150,"$280,000",130 Buckley Ln,5.0, House for sale, Battle Creek, MI 49015,4.0,3197.0,MI,49015,26077
151,"$155,000",110 23rd St N,4.0, House for sale, Battle Creek, MI 49015,2.0,1448.0,MI,49015,26025
152,"$155,000",110 23rd St N,4.0, House for sale, Battle Creek, MI 49015,2.0,1448.0,MI,49015,26077
153,"$405,000",20218 Martinsville Rd,3.0, House for sale, Belleville, MI 48111,1.0,1230.0,MI,48111,26115
154,"$405,000",20218 Martinsville Rd,3.0, House for sale, Belleville, MI 48111,1.0,1230.0,MI,48111,26161
155,"$405,000",20218 Martinsville Rd,3.0, House for sale, Belleville, MI 48111,1.0,1230.0,MI,48111,26163
156,"$119,900",1064 Hannah Ave,2.0, House for sale, Lansing, MI 48906,1.0,784.0,MI,48906,26045
157,"$119,900",1064 Hannah Ave,2.0, House for sale, Lansing, MI 48906,1.0,784.0,MI,48906,26065
158,"$119,900",1064 Hannah Ave,2.0, House for sale, Lansing, MI 48906,1.0,784.0,MI,48906,26037
159,"$469,900",776 S Lakeshore Blvd,2.0, House for sale, Marquette, MI 49855,3.0,1560.0,MI,49855,26103
160,"$469,900",772 S Lakeshore Blvd,2.0, House for sale, Marquette, MI 49855,3.0,1560.0,MI,49855,26103
161,"$59,900",13940 Toepfer Rd,2.0, House for sale, Warren, MI 48089,1.0,725.0,MI,48089,26099
162,"$319,900",9249 Caprice Dr,3.0, House for sale, Plymouth, MI 48170,2.0,1361.0,MI,48170,26161
